SiO2,CaO,MgO,FeO,TiO2
0.04440567443814061,0.08588189973383369,0.2736349639333403,0.054903921317116425,0.5411735405775691
0.28943026588688525,0.014707073706565018,0.09431320222128907,0.09898278805078292,0.5025666701344775
0.0411406543228144,0.10703297596564998,0.3175628758951195,0.09896105379035532,0.4353024400260608
0.05594411743668186,0.06018616285769481,0.43316618801277723,0.047927519326838135,0.4027760123660081
0.09509577610764189,0.06459311903858511,0.26165228353662595,0.10740047355827594,0.4712583477588712
0.04352442097165885,0.0359017939341543,0.03508212612452009,0.010324490928889112,0.8751671680407775
0.18012707599476643,0.03567972805249811,0.01940136950256813,0.01636988186639305,0.7484219445837743
0.08401673264108139,0.056958253869273695,0.20403273767308208,0.06403846290340964,0.5909538129131532
0.10432954645612191,0.05077912310126242,0.056291071941330956,0.0367413912517137,0.751858867249571
0.14859695529531156,0.07701083369304623,0.09747608037968808,0.08397382845026873,0.5929423021816854
0.1835269778835823,0.08553888785653448,0.18345390874686424,0.04896357363188012,0.4985166518811388
0.38794620450311035,0.024863551424859097,0.008129293730464265,0.016740636929366608,0.5623203134121998
0.26367946014940047,0.026049439166270342,0.05508434840165342,0.11122476927512241,0.5439619830075533
0.07611969847554236,0.06653434299942883,0.1805763924971515,0.061933872706399974,0.6148356933214773
0.07472269942818112,0.047717917693425295,0.3795990358962355,0.0992833616195328,0.39867698536262536
0.09375266205572093,0.03671424140739429,0.33952965899939747,0.055229500226750154,0.47477393731073714
0.14519664796530352,0.06582547453864045,0.061274334628044456,0.029983382865509535,0.6977201600025021
0.041745968089543964,0.1464147155143975,0.45485868423937054,0.07997802580583313,0.27700260635085483
0.09647051102206475,0.040452645963579635,0.10166120837032218,0.04668266114411957,0.7147329734999137
0.11797143004155965,0.07289079634598988,0.04705980694311085,0.02083252664772378,0.741245440021616
0.0204960103542296,0.03199077126678797,0.5902405474911695,0.03548793904727906,0.32178473184053386
0.09222238263241465,0.030871964336396638,0.08911539043332883,0.05835772162882978,0.7294325409690301
0.1274605486437632,0.03271709319785478,0.07539149861002947,0.07608948915778027,0.6883413703905722
0.04423724245382181,0.07446212020438149,0.32554777898451553,0.04846082106101919,0.507292037296262
0.12451885130267384,0.06153053539914484,0.04345129614571643,0.026004460462746105,0.7444948566897189
0.0734338359201366,0.03875688485047101,0.11918847143116386,0.03774839179392325,0.7308724160043053
0.007613823180989006,0.04431438487608136,0.6927024532085172,0.11889198342578866,0.13647735530862382
0.04992464427537894,0.030945877304418355,0.38775932888838965,0.16882404395339684,0.3625461055784161
0.13759518705850343,0.01607252308767853,0.039284058296825575,0.033679169845385215,0.7733690617116072
0.049288663081332076,0.02550660545717102,0.45687737774670745,0.15617904762543466,0.31214830608935484
0.09105784962422739,0.02760739509734231,0.07001773810014153,0.05108107965600871,0.76023593752228
0.10046642813974845,0.02271544681988567,0.07563939550682924,0.03323646127447633,0.7679422682590603
0.14227983126293997,0.029956069258905732,0.19045174965550157,0.13443092457647082,0.5028814252461818
0.023237560733073318,0.050112425495723055,0.6221706493195124,0.051376846383150994,0.2531025180685402
0.058839100966011394,0.021609525030399628,0.47215177182401624,0.044845056458792026,0.4025545457207808
0.10257127107778381,0.07408243019371376,0.3313060897648892,0.10436675043421424,0.3876734585293989
0.070895598298882,0.04281331560853734,0.1883017212784974,0.0298361158129458,0.6681532490011375
0.12137237404130594,0.04424618016619055,0.09807808564111693,0.031195451048840687,0.705107909102546
0.08683858333352786,0.036806283774538394,0.36769724711104684,0.07010585342144766,0.4385520323594393
0.025368023567794426,0.09348424636283083,0.11653231466337842,0.039647391871986945,0.7249680235340095
0.1778762598887488,0.032326532424136044,0.051268689231526686,0.07471839117358715,0.6638101272820013
0.16116958180084792,0.02673983476997939,0.09261950510786923,0.03129478385915908,0.6881762944621445
0.10115886788970996,0.031155997333098612,0.1086310818819397,0.0783847180494508,0.6806693348458009
0.05531282112773381,0.031953144381514136,0.1676492563887838,0.04347792583253456,0.7016068522694335
0.16114160099547437,0.054804597302114844,0.06362877064913396,0.060524878241576825,0.6599001528117
0.2085877336001314,0.07010390953557405,0.0645793968923424,0.04466058329290996,0.6120683766790423
0.0804563342945128,0.023770016511049794,0.045471949060257366,0.043458111041450045,0.80684358909273
0.12599654260008747,0.041062685035295164,0.0465026552357322,0.027942795752852963,0.7584953213760321
0.08423198445758347,0.023741295418896132,0.07458679748349337,0.04503265852873096,0.772407264111296
0.055849096739636554,0.07048603781714496,0.19914047692526876,0.09033556308866292,0.5841888254292867
0.036311386080515456,0.056425931386326,0.4742410484975298,0.04295352692109951,0.39006810711452916
0.036753958716813674,0.09679137982964786,0.5433003714924736,0.10990791170558276,0.21324637825548218
0.035321574660314665,0.022932697766410267,0.2567925497869568,0.0423743026057885,0.6425788751805298
0.1320685434635657,0.033134182421704426,0.07307120934754918,0.056517266631187904,0.7052087981359929
0.049206292297524164,0.08382524441531468,0.13175750306432196,0.047427920536724774,0.6877830396861143
0.040986962414822865,0.03440033986124656,0.4020560596072677,0.08280440261426991,0.439752235502393
0.17604259802424754,0.027344933558596848,0.038176359531451425,0.025781588636236242,0.7326545202494679
0.09569193055455105,0.06385169774999822,0.5011837488641206,0.10075353465951122,0.23851908817181883
0.06527791272719373,0.027126947461083944,0.2435020659829999,0.11955566526192762,0.5445374085667949
0.06461619148898333,0.035825346442160684,0.24930065301882734,0.019657008002538227,0.6306008010474904
0.06828170485707372,0.10574971346032655,0.18721077244592582,0.08480186375813965,0.5539559454785343
0.09187889873641115,0.08621373275860167,0.08883512475374768,0.061849077729225405,0.6712231660220143
0.06371268529413314,0.032513479225900116,0.0750067169032555,0.036964009083069925,0.7918031094936413
0.07744206805660919,0.05931915599241171,0.059158358276475476,0.04735466125697618,0.7567257564175275
0.05636372288257486,0.04850764338940514,0.2854780917082133,0.05845298609571726,0.5511975559240895
0.1122199089538273,0.06131323857992872,0.173342304049605,0.09107843324883724,0.5620461151678017
0.16294386745374953,0.07744157459752878,0.03294384550592559,0.04635028731951783,0.6803204251232782
0.3477959561157572,0.05756655365640655,0.018412989124050688,0.03866168004752048,0.5375628210562651
0.10362299067752401,0.05643854440710332,0.1647485313798416,0.09762531699959574,0.5775646165359353
0.23306812101775584,0.028898768730636234,0.13909492017452899,0.08559170349580425,0.5133464865812747
0.15898937801934085,0.04043495742904516,0.04267904597398123,0.01844932026830387,0.7394472983093288
0.11217220147878249,0.04778755771621407,0.10126147623275879,0.03354882518392629,0.7052299393883183
0.05169562845134205,0.07374020477590136,0.32511966112062113,0.09473780193462818,0.4547067037175073
0.07045942430731292,0.0366673450241737,0.050455380911355534,0.08905980112754022,0.7533580486296175
0.1204426508753767,0.028512498136877104,0.33151120410177765,0.13872632993071612,0.38080731695525233
0.08749357920856148,0.05232014945898599,0.4095627957951868,0.1110655701267906,0.33955790541047504
0.04558744099734374,0.04904746808547615,0.3146181726461998,0.13022038967609426,0.460526528594886
0.0938520198957675,0.04320971358812791,0.12985722887223008,0.07042626699984744,0.6626547706440271
