x values,y values
2.005967612,222.4458351
6.002049311,784.7509679
5.360400714,642.998331
3.306077458,277.1389147
3.654947188,408.8895112
5.997547484,649.2824539
4.87150325,664.7123388
1.526524365,176.304081
3.866857346,602.2516032
2.287297585,129.3625012
0.846615109,113.4792798
2.412084347,127.8503493
2.318350469,241.4127503
6.597099551,654.538526
5.456063842,656.065027
6.610210942,519.6293604
5.323267426,689.6141767
4.359126885,436.3726524
5.248383731,606.8611163
2.044699703,279.9565408
0.75237053,131.6788119
4.492287371,529.5483598
3.18888711,490.6562774
1.794692778,478.5740647
5.150868647,833.9462626
2.887389403,528.3642929
4.441130406,516.3613564
4.744296267,525.9895229
6.145141328,519.0861161
1.265968309,202.1525923
0.639364351,126.0364661
1.337218839,381.1082261
4.810869474,413.2844007
2.904692559,520.7817328
5.83890848,705.7938383
3.829742985,451.3286716
4.370824007,438.1259129
1.772229793,244.2649762
4.167482914,360.1732847
4.602060879,458.8311689
3.540362582,459.7838311
2.99267956,420.4787585
6.982041227,787.3694774
5.868292578,681.4116309
6.7176527,671.7289016
6.625245446,625.9114776
2.685868247,317.0291816
4.032555277,244.1468988
6.9054866,887.6757129
3.289948638,337.8560004
3.906227092,404.6661659
3.449976358,498.7796009
0.75134602,260.8455939
5.339001172,743.9380247
3.535071123,494.331655
5.194359239,564.1887054
0.701314146,219.8023155
4.5933175,454.6598203
1.8206893,359.2646152
3.871462398,539.2815803
2.481521581,274.3397404
6.469643424,761.3372757
6.866325933,839.8663141
5.627815443,610.1335056
1.68573779,413.7494653
1.504337,308.6537766
0.936686864,-8.574213172
5.432576935,564.1182471
3.421392187,400.0630581
2.560228787,439.6448404
2.044888615,413.9837989
3.33938487,571.418333
3.447902069,304.3756784
1.5802792,315.2979253
1.128177176,207.9789634
5.853174827,662.4605338
0.750207738,2.941977674
0.840856654,164.2170533
3.965957871,512.4921483
4.345089647,644.0614426
6.232617875,992.1314854
0.943890811,174.8409969
0.778868071,353.9274214
5.554745747,714.3028368
6.484827109,861.3306385
2.327688585,160.5028842
2.086068286,282.7235476
6.682491365,912.6873442
2.421040553,355.0617957
2.068614168,203.5491005
1.883227309,354.9154046
1.262609184,289.3970545
3.965782658,415.8701599
6.510254674,743.274322
6.930680237,668.7380536
5.488733236,581.0268293
5.721437502,755.0933011
3.816842782,532.6528879
3.856294308,520.9861692
1.183634451,132.8656087
4.278736396,543.3449677
3.013543753,465.1334827
6.216255155,766.6599543
4.031028608,469.857999
3.464708449,322.4157561
6.884189547,633.3205346
5.862040639,712.321177
5.485816353,560.4444668
4.008339953,341.6098949
5.772374194,709.0571776
2.477961683,294.4041459
2.365081982,237.7526208
4.610689415,480.6726302
4.963862334,496.6204689
6.083442427,910.1215009
4.82776294,409.3534626
3.973911937,464.7753988
6.803165545,743.7589728
3.926618253,534.005576
2.759782908,595.7370169
5.000864295,621.1378866
6.445468966,687.1042553
5.51705174,538.7830188
6.899750223,672.4079202
6.197563397,761.0145127
5.696345236,683.5713897
1.833873168,235.481798
3.172142614,427.6554041
6.957869708,941.4320156
3.550726879,458.5257593
2.361681179,345.6454144
1.048941307,336.4366403
3.329177871,649.7757644
5.512296716,707.2603709
1.070618151,214.9127305
4.191676319,543.4843
1.663977216,213.1196473
4.120007293,336.2132473
1.383238265,160.3606161
3.720730683,550.3699858
4.709178966,635.4512866
6.619153717,762.0018109
2.877248248,275.2365597
5.662639481,574.5167821
3.923458683,514.9476417
4.519420368,572.4308288
2.833003128,451.4971964
1.134740759,266.6401017
6.98926801,820.784283
6.636414652,719.1516789
0.811090418,171.041978
3.787278161,436.8767172
6.263256221,716.7062411
2.214265821,200.7368689
6.115782425,804.221103
5.802976784,503.8720777
6.429664677,805.762952
5.265021502,606.6619518
4.23989278,519.808166
2.629967934,240.4429844
2.809337744,187.6169213
6.954462794,858.3973731
0.976996645,228.4883487
5.17725208,453.159442
6.339939775,870.3252322
0.780079105,186.1275673
6.534465578,703.698191
6.257670819,854.9774593
5.822085067,579.8852488
3.079907666,389.0605105
1.922600788,382.2378923
3.845678736,522.6314211
1.024104078,-36.57120577
1.840784783,338.2883652
3.811675771,623.2421417
3.585849339,495.3145432
1.801017061,255.3013843
1.401260636,208.011107
5.426117489,566.8845245
6.725944437,518.3148179
4.330412964,368.5520738
3.733909373,227.9285394
2.676396251,409.1362865
0.756909938,112.2289116
6.428309124,908.003054
5.579448455,850.136638
1.170100504,384.2718677
2.93726914,355.9955831
5.717275756,621.4923342
1.274238943,210.3276552
2.467210336,363.35772
1.739212748,199.0647314
5.643668871,652.5618687
0.698038445,85.7948479
2.650278834,298.3840759
4.850036899,514.7313666
2.654159674,428.2047444
3.000435181,333.9573947
0.787284959,108.6006166
4.645904289,526.8840784
1.711846869,264.7910512
3.797288777,432.9027475
6.63218703,733.1852868
3.251331942,494.0928341
3.695264461,237.4593981
5.352681251,670.2387503
4.514121658,499.5288507
4.799298818,544.8792668
3.696808494,428.8334896
5.74154881,713.7247839
4.931507751,483.3227086
4.1697425,504.8294748
4.025766453,476.7606249
6.396280824,663.7534211
1.526327654,260.8750869
0.821221979,277.5725897
3.930649926,350.3327216
4.730535728,614.2206892
6.764272076,724.8668986
0.61096452,131.6990251
1.286252255,407.5298883
6.144261774,733.2507643
5.979034224,771.2241268
1.719181544,289.2354499
4.878725594,509.3048686
2.90360732,382.0874519
5.865778371,647.3727011
4.83098201,642.5360372
6.536750276,661.4037692
3.555518146,345.547054
2.202953446,288.3991216
6.35698036,812.9458312
4.707194221,621.3426771
0.946431914,97.96004479
5.777381422,709.9607197
6.647584722,852.7313819
6.093752192,748.9432539
1.911518867,420.9794316
0.670957386,-42.79428835
4.181685756,445.0780112
6.913374247,643.2518492
1.828432089,325.505051
1.636323346,291.6003453
2.084522038,177.4061139
1.964708275,187.0974209
5.129008444,588.9317335
6.742606624,710.1342619
4.850124557,598.8445519
1.801417386,390.2161427
6.179824818,736.3759228
6.087521169,626.4010443
1.724041089,180.7360021
0.699697999,391.4911748
0.740836296,310.3537535
1.824334915,294.8929127
4.967848121,547.1485516
4.980692987,717.3669644
0.831812585,175.0724833
3.304822259,507.2637739
4.796194617,493.7607122
